,Image,Category,sub-category,Tittle,Details
164,,Living,pouffes,Pippau,"Modern gray ottoman with a plush top and unique textured finish, offering both style and comfort for any living space."
165,,Living,pouffes,Scabious,"Modern pink ottoman with a plush top and unique textured finish, offering both style and comfort for any living space."
166,,Living,pouffes,Smallwort,"Chic black and white patterned ottoman with a modern design, plush cushioned top, and minimalist base, offering both style and comfort for any living space."
167,,Outdoor,Outdoor dining,olive,"A stylish outdoor gazebo with a sturdy metal frame and a transparent sloped roof, featuring wooden benches and a central rectangular table. Light, sheer curtains with brown accents add elegance and a cozy ambiance to the setting"
168,,Outdoor,Outdoor dining,Thistle,"This is a round outdoor gazebo set with a vibrant green canopy, supported by intricately designed metal frames for added elegance. The set includes a circular wooden table with an orange base and matching curved benches, complemented by small potted plants for a refreshing touch. Its stylish and functional design makes it perfect for garden gatherings or patio seating."
169,,Outdoor,Outdoor dining,Vipe,"An elegant hardwood gazebo featuring a double-tiered pagoda-style roof in rich brown, complete with built-in bench seating and a charming porch swing. The structure includes decorative lattice details and climbing vines, creating a perfect blend of functionality and outdoor aesthetics."
170,,Outdoor,Outdoor dining,Woodruff,"A charming circular outdoor pavilion with a rustic thatched roof and decorative metal frames, featuring built-in seating around a central table. It creates an inviting space perfect for al fresco dining or casual gatherings."
171,,Outdoor,Outdoor dining,Yarrow,"A contemporary outdoor gazebo with a two-tiered emerald green canopy and sleek black metal posts, featuring built-in wooden bench seating around a central table. Its hexagonal design blends modern style with functional outdoor comfort."
172,,Outdoor,Outdoor dining,African Daisy,"A charming outdoor pavilion featuring a distinctive double-tiered sky blue canopy with scalloped edges, supported by durable dark metal framework and equipped with integrated bench seating; this hexagonal design creates an inviting communal space perfect for casual dining or relaxation while providing essential shade and weather protection."
173,,Outdoor,Outdoor dining,Trumpet,"An elegant outdoor shelter showcasing a rustic thatched roof design atop a sturdy metal frame, complete with built-in perimeter bench seating in classic black; this traditional-style pavilion offers a natural, resort-like atmosphere perfect for outdoor gatherings while providing a comfortable and shaded space for dining or socializing."
174,,Outdoor,Outdoor dining,Chikoo,"This modern outdoor dining set features a striking lime green finish across all pieces, including a rectangular table, matching chairs, and a coordinating bench. The all-metal construction with slatted design provides both durability and style, while potted tropical plants surrounding the setup create an inviting garden dining atmosphere perfect for outdoor entertaining."
175,,Outdoor,Outdoor dining,Bougainvillea,"This intimate conversation set combines rich brown woven wicker with plush beige cushions, featuring two comfortable armchairs and a matching cubic side table. The compact design makes it ideal for small patios or balconies, while the durable all-weather construction ensures longevity in outdoor conditions."
176,,Outdoor,Outdoor dining,Bromeliad,"This elegant outdoor dining arrangement showcases a natural beige rattan construction with a glass-topped square table and four matching chairs. The traditional woven pattern adds texture and visual interest, while the lightweight yet sturdy design offers both comfort and practicality for outdoor dining."
177,,Outdoor,Outdoor dining,Canna,"This contemporary dining set combines white aluminum frames with warm teak-style slats, creating a clean and sophisticated look. The square table and four matching chairs feature a perfect blend of materials that offer both weather resistance and classic appeal, ideal for modern outdoor spaces."
178,,Outdoor,Outdoor dining,Chenille,"This sophisticated outdoor dining set features a round glass-topped table surrounded by four coordinating chairs, all crafted in a subtle grey wicker finish. The curved design elements and woven texture create an elegant yet casual atmosphere perfect for outdoor entertaining or everyday use."
179,,Outdoor,Outdoor seating and Chairs,Clvia,"A luxurious covered jhula featuring a sturdy metal frame with an elegant taupe canopy and mesh curtains, complete with comfortable seating and a built-in table, perfect for creating a cozy outdoor relaxation spot protected from the elements."
180,,Outdoor,Outdoor seating and Chairs,Frangipani,"A classic garden jhula with a brown weather-resistant canopy, featuring beautifully woven rattan seating with plush cushions supported by a robust metal frame, designed for gentle swaying while enjoying the outdoor atmosphere."
181,,Outdoor,Outdoor seating and Chairs,Heliconia,"A spacious three-seater garden jhula with a sturdy black metal frame and curved supports, showcasing a contemporary design. It features tan cushioned individual seats for added comfort, topped with a weather-resistant brown canopy and protective side panels for outdoor relaxation."
182,,Outdoor,Outdoor seating and Chairs,Lobster,"A compact two-seater garden jhula showcasing a minimalist black metal frame with clean, modern lines and elegant curves. Features a comfortable cushioned bench seat in beige, perfect for intimate outdoor seating. Crowned with a simple yet effective beige canopy that provides essential shade while maintaining a sleek, uncluttered appearance."
183,,Outdoor,Outdoor seating and Chairs,Lotus Outdoor Seater,"A classic three-seater garden jhula design with a robust black metal frame and extended support structure. Distinguished by its plush, tufted bench-style seating in tan upholstery with decorative button details. Topped with a dark-colored structured canopy that offers superior sun protection and adds a touch of sophistication to outdoor spaces."
184,,Outdoor,Outdoor seating and Chairs,Medinille,"An elegant garden jhula with a Victorian-inspired silver frame, decorative scrollwork, and gentle curved supports. It features a plush tufted beige two-seater bench with matching cushions, topped with a scalloped tan canopy for a romantic outdoor touch."
185,,Outdoor,Outdoor seating and Chairs,Passionflower,"A modern double-seater garden jhula with innovative split-seat design featuring individual curved canopies for personalized shade. The sophisticated black frame curves gracefully to support two independent tan-colored seats, offering personal space for each user. Perfect for contemporary outdoor settings with its unique silhouette that combines functionality with artistic design elements."
186,,Outdoor,Outdoor seating and Chairs,Aster,"A timeless garden jhula design featuring a sturdy black metal frame with graceful curved supports and clean lines. The generous bench seat comes upholstered in neutral tan fabric with subtle tufting for classic appeal and optimal comfort. Crowned with a coordinating tan canopy with gentle pleats, providing essential shade while maintaining an elegant outdoor presence."
187,,Outdoor,Outdoor seating and Chairs,Aubrieta,"This modern Eames-style side chair features a light blue molded plastic seat with an ergonomic design. It sits on natural wooden legs with black metal cross-supports, blending mid-century style with contemporary simplicity, perfect for dining rooms, offices, or studios."
188,,Outdoor,Outdoor seating and Chairs,Mulberry Outdoor Seater,"This modern take on a classic Windsor chair features a sleek black spindle back for an elegant, airy look. The vertical slats add structure, while the two-tone design with natural wooden legs blends traditional and contemporary styles."
189,,Outdoor,Outdoor seating and Chairs,Begonia,"This contemporary monochromatic dining chair showcases a seamless, modern silhouette crafted entirely from durable molded plastic in a refreshing teal color. The chair's clean lines and subtle texture pattern create visual interest while maintaining a minimalist aesthetic, with an ergonomically designed seat and backrest that flow together in one continuous form. "
190,,Outdoor,Outdoor seating and Chairs,lizzie,"This sophisticated dining chair features a striking monolithic design in deep black, with a gracefully curved backrest that wraps partially around to create integrated armrests. The all-plastic construction maintains a sleek, unified appearance while providing durability and easy maintenance."
191,,Outdoor,Outdoor seating and Chairs,Fig,"This contemporary interpretation of a barrel chair combines traditional spindle-back styling with modern sensibilities, finished in a calming sage green that adds a fresh, natural touch. The chair successfully bridges classic and contemporary design elements, making it a versatile piece for both modern farmhouse and Scandinavian-inspired interiors."
192,,Outdoor,Outdoor seating and Chairs,Coneflower,"This vibrant dining chair features a playful geometric pattern in its backrest, with organic bubble-like cutouts creating a dynamic interplay of negative space. The coral-red hue makes a bold statement while the modern molded construction ensures durability and comfort."
193,,Outdoor,Outdoor seating and Chairs,Kiwi,"This statement piece combines mid-century modern influence with contemporary comfort, featuring a textured yellow shell seat with integrated armrests atop sleek black legs. The chair's honeycomb-like surface texture adds both visual and tactile interest while maintaining structural integrity. The contrasting base creates a sophisticated two-tone effect, while the curved form of the seat shell provides ergonomic support with a distinctly modern aesthetic."
194,,Outdoor,Outdoor seating and Chairs,Fuchsie,"This elegant outdoor dining chair features a sophisticated woven synthetic rattan pattern in classic black, creating a timeless yet contemporary aesthetic. The durable aluminum frame ensures weather resistance while maintaining a sleek profile, perfect for both patio and indoor-outdoor transitional spaces."
195,,Outdoor,Outdoor seating and Chairs,Avocado,"This contemporary bar stool combines a vibrant red seat with natural wooden legs, creating a striking balance between modern and Scandinavian design elements. The minimalist three-legged base provides stable support while maintaining a light visual footprint, making it an eye-catching accent piece for any modern kitchen or bar area."
196,,Outdoor,Outdoor seating and Chairs,Larkspur,"This sophisticated bar stool features a classic cane-woven backrest paired with a black frame, offering a perfect blend of traditional craftsmanship and modern design. The tall, slender silhouette is enhanced by the natural cane pattern, creating an elegant seating option that brings warmth and texture to contemporary spaces."
197,,Outdoor,Outdoor seating and Chairs,Lilacbush,"This stylish bar chair showcases a quilted cognac-colored upholstery with a distinctive diamond pattern, supported by black metal legs with eye-catching yellow accents. The comfortable curved seat and backrest combine with modern industrial elements to create a sophisticated piece that bridges casual and upscale design aesthetics."
198,,Outdoor,Outdoor seating and Chairs,Lily,"This charming rocking chair combines a soft pink quilted seat with mint green tubular metal frames, creating a delightful retro-modern aesthetic. The graceful curved runners and minimalist design make it a perfect statement piece for nurseries, living rooms, or covered porches where comfort meets contemporary style."
199,,Outdoor,Outdoor seating and Chairs,Marguerite,"This modern folding chair features a striking black and white chevron pattern woven into its durable synthetic material, creating a bold geometric statement. The sleek black metal frame offers both stability and portability, making it perfect for both indoor and outdoor gatherings while adding a contemporary touch to any space."
200,,Outdoor,Outdoor seating and Chairs,Mullein,"This bohemian-inspired rocking chair showcases a natural rope weave pattern in a warm beige tone, forming an elegant oval cocoon shape supported by a black metal frame. The modern interpretation of the classic Acapulco design combines comfort with style, featuring smooth rocking runners that make it an ideal piece for both indoor lounging and covered outdoor spaces."
201,,Outdoor,Outdoor seating and Chairs,Peony,This sophisticated dining chair combines olive green Leatherette upholstery with warm wooden arms and legs in a classic mid-century modern design. The thoughtful combination of materials and angular construction creates a comfortable yet stylish seating option that pays homage to vintage furniture while maintaining contemporary appeal.
202,,Outdoor,Outdoor seating and Chairs,Sweet alison,"This contemporary dining chair features a seamless coral-colored molded plastic construction with smooth, organic curves throughout its design. The monochromatic piece offers a minimalist yet playful approach to modern seating, with an ergonomic backrest that provides both comfort and style for everyday use."
203,,Outdoor,Outdoor Sofas,Mace,"This sophisticated sofa features rich tan Leatherette upholstery with clean, contemporary lines. The wide track arms and elevated wooden legs create an airy, modern silhouette. The plush cushioning and generous proportions offer both style and comfort, perfect for a modern living space."
204,,Outdoor,Outdoor Sofas,Tickseed,"This striking navy blue sofa combines classic tufting with modern design elements. The deep channel-tufted seat and sleek metal base create a floating effect, while decorative throw pillows add casual comfort. The architectural frame makes it an ideal centerpiece for contemporary interiors."
205,,Outdoor,Outdoor Sofas,Vervain,"This elegant grey velvet sofa features a timeless silhouette with gently sloped arms and tapered wooden legs. The plush, cloud-like cushioning and soft velvet upholstery create an inviting seating experience, while the neutral grey tone ensures versatility in any interior design scheme."
206,,Outdoor,Outdoor Sofas,Petal & Pine,"This charming light blue sofa showcases classic mid-century modern design with its clean lines and wooden frame. The exposed oak arms and frame create architectural interest, while the comfortable cushions in a serene blue fabric add a contemporary touch to the retro-inspired design."
207,,Outdoor,Outdoor Sofas,"Zen Bloom
","The Mustard Velvet RetroThis eye-catching sofa combines vintage charm with modern comfort in rich mustard velvet upholstery. The curved arms and black tapered legs echo mid-century aesthetics, while the plush cushioning and generous proportions ensure modern-day comfort and style."
208,,Outdoor,Outdoor Sofas,Willow Nest,"This bold curved sofa makes a dramatic statement with its sweeping asymmetrical design in rich crimson velvet. The seamless wraparound form and metallic legs create an architectural presence while offering intimate, cocooning comfort."
209,,Outdoor,Outdoor Sofas,"Oak 
",Clean lines and a sophisticated silhouette define this terra cotta sofa with its gently angled arms and plush cushioning. The slender black legs and tailored upholstery strike a perfect balance between mid-century inspiration and modern minimalism.
210,,Outdoor,Outdoor Sofas,Azalea Aesthetic,"Wrapped in sumptuous caramel velvet, this three-seater sofa radiates warmth and timeless elegance. The gracefully tapered brass legs and generous proportions blend Scandinavian simplicity with luxurious comfort."
,,Outdoor,Outdoor Sofas,Jasmine Outdoor Sofa,"This inviting blush pink sofa combines Scandinavian simplicity with soft, feminine charm. The clean-lined silhouette features rounded bolster pillows and natural wooden legs for a fresh, contemporary take on casual elegance."
,,Outdoor,Outdoor Sofas,Lavender Outdoor Sofa,Understated luxury defines this dove grey velvet sofa with its deep cushioning and refined proportions. The natural wooden legs and relaxed silhouette create an effortlessly chic piece that bridges classic and contemporary styles.
,,Outdoor,Outdoor Sofas,Marigold Outdoor Sofa,"This sophisticated sofa showcases elegant button tufting across plush rose velvet upholstery. The tapered wooden legs and bolster pillows blend retro charm with modern comfort, while the structured silhouette offers timeless appeal."
,,Outdoor,Outdoor Sofas,Azalea Outdoor Sofa,Clean lines and understated luxury define this greige velvet sofa with its minimalist profile and generous proportions. The black metal legs and squared-off arms create a contemporary statement piece that's both refined and inviting.
,,Outdoor,Outdoor Sofas,Bluebell Outdoor Sofa,This cheerful yellow sofa brings a burst of mid-century optimism with its curved organic form and angled wooden legs. The tufted back and matching throw pillows create a playful yet sophisticated seating solution perfect for modern spaces.
,,Outdoor,Outdoor Sofas,Snowdrop Outdoor Sofa,"A contemporary take on the classic wing-back design, this slate grey sofa features a gracefully curved high back and sleek metal legs. The tailored upholstery and generous cushioning strike an elegant balance between drama and comfort."
,,Outdoor,Outdoor Sofas,Wisteria Outdoor Sofa,This timeless Leatherette Chesterfield sofa showcases deep button tufting and rolled arms in rich cognac leather. The traditional craftsmanship with brass nail head trim and deep diamond quilting represents the epitome of British luxury furniture design.
,,Outdoor,Outdoor Sofas,Primrose Outdoor Sofa,Clean lines and architectural simplicity define this contemporary cream sofa with its cubic form and slim metal legs. The tailored upholstery and precise proportions create a sophisticated statement piece that embodies modern design principles.
,,Outdoor,Outdoor Sofas,Carnation Outdoor Sofa,"This relaxed plum-colored sofa features oversized scatter cushions and a deep, comfortable seat depth. The casual linen upholstery and sleek metal legs create an inviting blend of comfort and contemporary style."
,,Outdoor,Outdoor Sofas,Cherry ,"Sleek and structured, this charcoal grey sofa features distinctive chrome side panels and clean geometric lines. The modern industrial aesthetic is softened by plush cushioning, making it perfect for contemporary urban spaces."
,,Outdoor,Outdoor Sofas,Amaryllis Outdoor Sofa,This mustard yellow sofa with crisp white piping offers a fresh take on casual luxury. The contrast welting and generous cushioning create a resort-inspired piece that brings sophisticated comfort to any living space.
,,Study,Chairs ,Protea,"A sophisticated navy ribbed fabric chair with clean lines and wooden base, combining contemporary design with executive comfort. The structured armrests and high back create an authoritative yet welcoming seating solution."
,,Office,Visitor chair,Lotus visitor chair,This sleek charcoal armchair features a refined silhouette with tapered legs and straight lines. The understated elegance of its velvet upholstery and slim profile makes it perfect for modern dining spaces.
,,Office,waiting chair,Anemone waiting chair,A graceful barrel chair upholstered in soft dusty rose fabric with dark wood frame detailing. The curved back and traditional form create an intimate seating experience with a contemporary color twist.
,,Office,Visitor chair,Freesia visitor chair,"A playful two-tone lounge chair featuring rose bouclé and cream upholstery, supported by natural oak legs. The embracing curved design offers both visual interest and ergonomic comfort."
,,Office,Visitor chair,Zinnia,A sophisticated black accent chair with diamond-quilted detailing on the back and plush seat cushioning. The angled metal legs and curved silhouette create a perfect balance of comfort and modern style.
,,Office,Visitor chair,Tuberose,This elegant dining chair features a gently curved back in warm beige upholstery with walnut-stained legs. The angled seat and ergonomic design create a perfect balance of comfort and minimalist style.
,,Study,Chair,Calla Lily,A charming café-style chair with cognac Leatherette upholstery and natural wood frame. The simple backrest and clean lines evoke vintage European bistro furniture with modern functionality.
,,Study,Chair,Sweet Pea,"A refined dining chair featuring sleek grey upholstery and dark wooden legs. The tall, linear backrest and minimalist profile make it an ideal choice for contemporary dining spaces."
,,Office,Visitor chair,Morning Glory,A sophisticated armchair combining camel and cream textiles with wooden legs. The subtle two-tone design and curved armrests create an inviting seating solution with transitional appeal.
,,Study,Chair,Cosmos,"A light blue accent chair with natural wooden frame and arms, embodying classic mid-century modern design. The geometric simplicity and pastel hue create a perfect blend of retro and contemporary aesthetics."
,,Living,Tables,Wildflower,"A striking round coffee table featuring warm oak veneer top and geometric black metal base. The X-frame support creates architectural interest while maintaining a clean, modern aesthetic."
,,Living,Tables,Hollyhock,An elegant square coffee table combining grey marble-effect top with rose gold frame. The sophisticated cross-base design and premium materials create a statement piece for contemporary spaces.
,,Living,Tables,Lupine,A dramatic round coffee table with black marble-effect surface and sleek hairpin legs. The combination of rich textures and minimalist industrial design makes for a bold centerpiece.
,,Living,Tables,Fairy Primrose,A sculptural round coffee table in natural birch with raised edges forming a practical tray top. The angled legs and organic form exemplify Scandinavian design principles.
,,Living,Tables,Rosemary Bloom,A refined coffee table featuring a grey concrete-effect top balanced on solid oak legs. The mix of materials and gentle curves create a perfect harmony of modern and natural elements.
,,Living,Tables,Jade Vine,A masterfully crafted round dining table featuring solid oak construction with uniquely angled legs that create a dynamic geometric base. The natural wood grain and architectural design blend Japanese minimalism with Scandinavian functionality.
,,Living,Tables,Flame Lily,A playful and compact side table in vibrant coral red with softly rounded corners. The monochromatic design and retro-inspired silhouette bring a cheerful pop of color to modern living spaces.
,,Living,Tables,Blood Lily,A sophisticated round coffee table combining natural oak veneer top with polished chrome cross-base. The intersection of warm wood and sleek metal creates a perfect balance of contemporary and timeless design.
,,Living,Tables,Fire Lily,A mid-century inspired round coffee table in rich walnut with three sculptural legs. The organic forms and warm wood tones showcase the beauty of traditional craftsmanship with modern sensibilities.
,,Living,Tables,Parrot's Beak,A crisp white round coffee table with natural beech legs set at an elegant angle. The clean lines and bright finish epitomize Scandinavian design's emphasis on lightness and simplicity.
,,Living,Tables,Blue Poppy,A stunning blend of natural wood top and brushed metal circular base creates an elegant industrial aesthetic. The floating design and mixed materials make this coffee table a striking centerpiece for modern living spaces.
,,Living,Tables,Black Bat Flower,A sophisticated coffee table featuring a warm wooden top suspended within a sleek black metal frame. The circular design and airy base create an illusion of floating elegance perfect for contemporary interiors.
,,Living,Tables,Crocus Table,An elegant oval coffee table combining a concrete-look top with natural oak legs in a mid-century modern silhouette. The organic form and mixed materials create a perfect balance of warmth and industrial chic.
,,Living,Tables,Silver Bush,A bold rectangular coffee table in deep matte black with angular legs that create dramatic lines. The monolithic design and architectural elements make a powerful statement in modern spaces.
,,Living,Pouffers,Sea Thrift,"A trio of modern poufs with elegant pleated detailing in orange, charcoal, and cream. The soft, structured pleating creates a sculptural effect that makes these poufs both decorative and functional seating options."
,,Living,Pouffers,Windflower,A generously sized circular pouf in neutral beige upholstery featuring classic button tufting throughout. Its substantial size makes it perfect as a centerpiece ottoman or extra seating.
,,Living,Pouffers,Firecracker Flower,A petite pouf stool featuring a geometric-patterned fabric in soft pink with light wooden legs. The clean lines and minimal design reflect classic Scandinavian influence.
,,Living,Pouffers,Spring,"A luxurious cube-shaped pouf in rich emerald velvet with deep, diamond-pattern tufting creating a dramatic quilted effect. The plush design makes it an eye-catching accent piece."
,,Living,Pouffers,Moon Orchid,"A sophisticated round pouf in mustard yellow velvet with tufted detailing, set on a modern black and gold base. The combination creates a perfect blend of comfort and glamour."
,,Living,Pouffers,Angel's Wing,A luxurious square ottoman in rich navy velvet featuring deep button tufting in a diamond pattern across the entire surface. The generous proportions and plush upholstery make it a substantial statement piece.
,,Living,Pouffers,Alba Rose,A rectangular ottoman in charcoal velvet with clean lines and tapered wooden legs. The minimalist design and combination of dark upholstery with light wood reflects classic mid-century modern aesthetics.
,,Living,Pouffers,Imperial,"A vibrant hot pink circular pouf with traditional button tufting creating a plush, quilted surface. The bold color choice makes it a playful accent piece."
,,Living,Pouffers,Delphinium,"A sophisticated cube-shaped ottoman in black Leatherette with precise grid tufting and a wooden base trim. The geometric pattern and luxe materials create an elegant, modern look."
,,Living,Pouffers,Dutchman's Pipe,A round ottoman in deep forest green velvet with traditional tufting across the top surface. The rich jewel tone and classic design make it a versatile piece that bridges traditional and contemporary styles.
,,Study,Study Tables,Epiphyllum,This classic school desk features a natural wood top surface paired with a sturdy light gray metal frame. The attached chair with wooden seat and backrest offers a timeless design that's been a classroom staple for generations.
,,Study,Study Tables,Fairy Duster,"A contemporary take on student seating with its sleek light gray frame and integrated desk surface. The ergonomic plastic chair component provides comfort while maintaining a clean, minimalist aesthetic."
,,Study,Study Tables,Blossom,This modern desk unit combines a navy blue metal frame with a light-toned desktop surface. The matching chair features a curved design that balances style with classroom functionality.
,,Study,Study Tables,Holly,A vibrant blue double-seat configuration featuring molded plastic chairs and an adjustable-height desktop. The modern design emphasizes durability and flexibility for collaborative learning environments.
,,Study,Study Tables,Sage,"This streamlined desk features a clean white frame with a built-in storage shelf beneath the desktop. The matching molded plastic chair in light gray creates a cohesive, modern learning station."
,,Study,Study Tables,Zinnia Study Table,This contemporary double desk features a sleek gray metal frame with a durable laminate top. The integrated bookshelf and ergonomic design create an efficient workspace for two students.
,,Study,Study Tables,Calla,A modern double desk system with light blue trim details and a spacious work surface. The matching chairs feature a comfortable curved design with metal frames for durability and stability.
,,Study,Study Tables,Winter Aconite Study Table,This traditional double desk combines a robust gray frame with a beige desktop and seating. The sturdy construction and practical design make it ideal for focused learning environments.
,,Study,Study Tables,Star Jasmine,A sophisticated desk set featuring a deep navy blue frame and gray plastic seating. The built-in storage shelf and clean lines create a professional learning environment perfect for older students.
,,Study,Study Tables,SpiderLily,This innovative curved desk design creates a collaborative learning space with its semi-circular shape. The bright blue chairs and white tabletop offer a welcoming environment perfect for group activities and interactive learning.
,,Study,Study Tables,Shooting Star,A vibrant kid-sized activity table featuring a clean white surface and cheerful green chairs. The round design encourages collaborative play and learning while providing ample space for creative activities and educational materials.
,,Study,Study Tables,Mountain Laurel,"This rectangular activity table sports energetic yellow chairs and a pristine white tabletop. The spacious design accommodates multiple children comfortably, making it perfect for group activities, art projects, and interactive learning sessions."
,,office,Work Tables,Tetra,"A sleek dark wood desk with clean lines and a single drawer, perfect for a minimalist home office setup. The geometric wall art and potted plant create a balanced, contemporary workspace aesthetic."
,,office,Work Tables,Titan,A sophisticated dark wood desk featuring a locking cabinet and metallic hardware accents. The teal abstract triptych artwork and indoor plant add a calming yet professional atmosphere.
,,Study,Study Tables,Silva,A space-efficient dark wood desk with a simple design and convenient side storage nook. Perfect for small spaces while maintaining functionality and modern style.
,,Study,Study Tables,Auro,A full-width dark wood desk with an integrated cabinet and clean lines throughout. The minimalist design offers ample workspace while maintaining a sleek profile.
,,Study,Study Tables,Enso,"A comprehensive dark wood workstation featuring a full-height storage cabinet, multiple shelves, and dedicated workspace. The integrated design combines storage and functionality in a modern package."
,,Study,Study Tables,Flow,"A sophisticated desk combining dark wood with white drawers, set against a striking botanical wallpaper. The geometric artwork and potted plant create a balanced, modern workspace with a natural touch."
,,Study,Study Tables,Noir,"A comprehensive workstation in dark wood featuring a tall storage cabinet, multiple shelves, and a dedicated laptop space. Perfect for those needing extensive storage and organization in their home office."
,,Study,Study Tables,Bloom,"A creative design featuring a dark wood desktop with a distinctive white storage column. The bold striped wallpaper background complements its contemporary aesthetic, while the open shelving provides accessible storage space."
,,Storage,TV Units,Vera,"A stylish entertainment unit featuring dark wood with white accents, supported by angled black legs. The design includes open shelving and cabinet storage, perfect for media components and decor items."
,,Storage,TV Units,Rubrio,"A modern entertainment center in warm wood tones with geometric compartments. The asymmetrical design provides both open shelving and storage spaces, ideal for displaying plants and electronics."
,,Storage,TV Units,Rafa,"A sophisticated wall-mounted entertainment center combining dark wood with white drawers against a luxurious geometric marble-patterned wall. Features vertical storage, display shelving, and ample space for media equipment."
,,Storage,Shoe Rack,Sun Stone,"A space-efficient shoe storage solution with a white drawer top and dark wood body. The cabinet includes multiple shelves behind doors, perfect for organizing footwear in an entryway."
,,Storage,Shoe Rack,Opal,"A generous shoe organizer in dark wood featuring both enclosed cabinet space and open shelving. The design includes a top surface for decorative items and practical storage, with a modern yet functional aesthetic."
,,Storage,Shoe Rack,Netra,"Each piece demonstrates thoughtful design that balances storage needs with contemporary style, using contrasting materials and clean lines to create visually appealing furniture solutions."
,,Storage,Dressing Table,Starlight,"A sleek, modern shoe storage solution with white doors and dark wood frame. Perfect for entryways, it offers discreet storage while maintaining a minimalist aesthetic."
,,Storage,Dressing Table,Fabia,A traditional dressing table in rich walnut finish with a full-length mirror and matching stool. Features a single drawer for storage and elegant proportions suitable for any bedroom.
,,Storage,Dressing Table,Aspen,"A space-saving dressing unit with full-length mirror and built-in storage drawer. The tall, slim design maximizes vertical space while providing both functionality and style."
,,Living,Sofas,Sera,A sophisticated brown Leatherette sectional with tufted cushioning and contemporary angled legs. The L-shaped design offers generous seating while the mid-century modern styling adds elegance to any living space.
,,Living,Sofas,Yana,"A striking navy blue L-shaped sofa featuring clean lines and grid-tufted upholstery. The modern design combines comfort with style, supported by sleek black legs and finished with precise quilting details."
,,Living,Sofas,Mocha,"A refined taupe sofa with subtle button tufting and clean architectural lines. The elevated design sits on slim metal legs, offering a perfect blend of modern simplicity and classic comfort."
,,Living,Sofas,Zelena,"A coordinated three-piece suite in rich forest green featuring grid-tufted detailing. Includes a sofa and two matching armchairs, all supported by dark wooden legs for a cohesive contemporary look."
,,Living,Sofas,Manika,"An elegant three-piece ensemble in soft blush pink velvet with diamond tufting. Features a curved silhouette sofa and matching armchairs, all resting on golden tapered legs for a luxurious finish."
,,Living,Wing Chair,Verda,"A sophisticated wingback armchair featuring a whimsical botanical print in seafoam green and teal tones, set against warm lighting with modern glass pendant lamps and black accent furniture."
,,Living,Recliners,Raven,"A contemporary recliner chair upholstered in soft charcoal gray velvet with channel tufting and overstuffed cushioning, paired with a traditional floor lamp and side table for classic elegance."
,,Living,Recliners,Zelda,"A classic power recliner wrapped in rich burgundy Leatherette showcasing clean lines and plush cushioning, positioned in a sunny room with hardwood floors and warm orange drapes."
,,outdoor,sun loungers,Mexican Sunflower,A premium 10-foot cantilever umbrella in warm beige with a sturdy black aluminum frame and cross base. Features an easy-tilt mechanism for adjustable shade coverage.
,,Living,Tables,Mignonette,A minimalist black round side table with a raised lip edge and three angled legs. The simple yet elegant design makes it perfect for contemporary living spaces as an accent piece or drink table.
,,Living,Tables,Milkweed,A durable outdoor dining table featuring a tempered glass top with a black metal frame and sturdy legs. The spacious design and robust construction 
,,Living,Tables,Laurel,"A contemporary square table with a black top and natural wooden legs, embodying the minimalist Scandinavian design aesthetic"
,,Living,Tables,Nemesia,A unique round coffee table with a striking food-themed print on the top surface and wooden legs. The creative design featuring coffee beans and pastry imagery makes it a conversation-starting centerpiece for any living room.
,,living,bean bag,"Leopard Lily
","Premium brown and black Leatherette bean bag, durable, stylish, ergonomic, lightweight, and ultra-comfortable—perfect for lounging, gaming, or relaxing anywhere."
,,living,bean bag,King's Spear,"Classic brown bean bag, stylish, durable, and ultra-comfortable. Perfect for lounging, reading, gaming, or relaxing in any space."
,,living,bean bag,Indian Paintbrush,"Faux Leatherette bean bag with beans and footrest, stylish, durable, and ultra-comfortable—perfect for lounging, gaming, and relaxing anytime."
,,Dining,Crockery Units,Chocolate Lily,"Martin Single Door Crockery Unit, stylish and durable, offers ample storage for crockery, glassware, and essentials, enhancing your dining space."
,,Dining,Crockery Units,Butterwort,Angel Furniture Contemporary Sheesham Wood Crockery Cabinet with Three Glass Doors and Versatile Storage - Honey Finish - Dining Room Sideboard
,,Dining,Crockery Units,Tansy,"Greyson Kitchen Cabinet, sleek and spacious, provides ample storage for kitchen essentials, ensuring organization, durability, and a modern aesthetic."
,,Dining,Crockery Units,Bellflower,"Modern crockery units, stylish and functional, offer ample storage for dinnerware, glassware, and essentials, enhancing your dining space with elegance."
,,Dining,Crockery Units,Mayapple,"Elegant two-tone crockery cabinet with glass-paneled doors, wooden accents, and spacious shelves for stylish storage of dinnerware and decor."
,,Dining,Crockery Units,Coral Bells,"Modern crockery cabinet with glass shelving, warm lighting, and sleek storage drawers, perfect for organizing and displaying dining essentials."
,,Dining,Crockery Units,Grevillea,"Contemporary crockery unit with open shelving and closed storage, combining elegance and functionality, perfect for organizing and displaying kitchenware.
,,Dining,Crockery Units,Rondeletia,"A vintage-style wooden crockery cabinet with intricate glass doors, offering an elegant and rustic touch to your home interiors."
,,Dining,Crockery Units,Scarlet,"A luxurious crockery display unit with LED lighting, open shelving, and closed storage, ideal for showcasing decor and fine dinnerware.  
"
,,Dining,Crockery Units,Shrimp," A modern wooden crockery unit with open shelves and glass cabinets, perfect for stylishly organizing dinnerware and kitchen essentials.  "
